"ProbeID","Cluster"
"ILMN_3158919",1
"ILMN_2718589",2
"ILMN_2602581",3
"ILMN_2630438",3
"ILMN_2647282",1
"ILMN_2670713",3
"ILMN_1260456",3
"ILMN_2687828",3
"ILMN_1243741",3
"ILMN_3162005",1
"ILMN_2846775",4
"ILMN_2707510",4
"ILMN_2807084",1
"ILMN_3163053",3
"ILMN_1219915",3
"ILMN_2782634",3
"ILMN_3013874",1
"ILMN_3111383",3
"ILMN_2759619",3
"ILMN_1245815",3
"ILMN_3156058",3
"ILMN_2747792",1
"ILMN_2744890",1
"ILMN_1221616",1
"ILMN_1232251",1
"ILMN_2594103",1
"ILMN_2799667",1
"ILMN_1245813",5
"ILMN_1231930",1
"ILMN_2749847",1
"ILMN_2934533",3
"ILMN_2677472",1
"ILMN_2741096",3
"ILMN_2749354",1
"ILMN_2846776",4
"ILMN_2715893",3
"ILMN_2800859",3
"ILMN_1214998",2
"ILMN_1259747",3
"ILMN_1220769",1
"ILMN_2706819",1
"ILMN_1238603",3
"ILMN_2994108",1
"ILMN_1257299",5
"ILMN_2657921",3
"ILMN_2592709",3
"ILMN_1239024",1
"ILMN_2850450",3
"ILMN_2731237",1
"ILMN_2689790",5
"ILMN_2621921",3
"ILMN_2628175",1
"ILMN_1223960",1
"ILMN_2592881",3
"ILMN_2654186",5
"ILMN_2758969",3
"ILMN_2611022",3
"ILMN_2596117",1
"ILMN_2671671",1
"ILMN_2651359",3
"ILMN_1223997",1
"ILMN_2510714",1
"ILMN_2714031",5
"ILMN_2936380",3
"ILMN_1240323",1
"ILMN_2793062",1
"ILMN_2973958",2
"ILMN_3119014",1
"ILMN_1223678",5
"ILMN_2987863",6
"ILMN_2511953",3
"ILMN_2683363",3
"ILMN_2683374",3
"ILMN_2885123",1
"ILMN_1232530",1
"ILMN_2664224",3
"ILMN_1227295",3
"ILMN_2700107",3
"ILMN_2620959",1
"ILMN_1249435",5
"ILMN_2458587",1
"ILMN_2674032",1
"ILMN_1212938",3
"ILMN_1251876",3
"ILMN_2916791",3
"ILMN_2634283",1
"ILMN_2763459",1
"ILMN_2699294",3
"ILMN_2750801",1
"ILMN_2751072",3
"ILMN_1216382",3
"ILMN_2616226",6
"ILMN_2847332",3
"ILMN_1229957",1
